0000001Brincando com Lucas Neto      5619/07/2019000001
0000002O Pequeno Príncipe            0219/07/2019000001
0000004A Bela e a Fera               0219/07/2019000001
0000005Diário de Um Banana: Vol I    0119/07/2019000001
0000007O Alto da Compadecida         0319/07/2019000000
0000009Romeu e Julieta               0319/07/2019000005
0000010Game of Thrones               0219/07/2019000000
0000014Brincando com Lucas Neto      0512/12/1234000000
0000052Crepúsculo                    0319/07/2019000000
0000666São Cipriano Capa Preta       1319/07/2019000001
0001256Insurgente                    0419/07/2019000000
0001324Divergente                    0417/07/2019000000
0656245Convergente                   0417/07/2019000000
1142536Geografia II                  4120/07/2019546976
1156385Receitas Da Palmirinha        0819/07/2019000000
1234567A Procura de um Milagre       1118/07/2019000000
2323232A Cabana                      1117/07/2019000000
4442668Fundamentos da Matemática     0919/07/2019000002
4748248Diário de Um Banana: Vol. II  0112/12/1234000000
5445862O Livro de Jô                 0712/12/1234000000
6666666A Menina que Roubava Livros   0317/07/2019000000
7713652A Parte Que Falta             1119/07/2019000000
